Unlabeled	U_avg	U_sd	L_avg	L_sd
U[0]	0.3314219688600043	1.7537224691545952	0.3314219688600043	1.7537224691545952
U[1]	0.22767823535930656	1.346164026613074	0.22767823535930656	1.346164026613074
U[2]	0.22811146573749305	1.3726522856395353	0.22811146573749305	1.3726522856395353
U[3]	0.21713443809825136	1.2863777932322455	0.21713443809825136	1.2863777932322455
U[4]	0.23048282759367178	1.2889394694569878	0.23048282759367178	1.2889394694569878
U[5]	0.23309903419907535	1.3861883026505106	0.23309903419907535	1.3861883026505106
U[6]	0.22890685394315757	1.3174490301693929	0.22890685394315757	1.3174490301693929
U[7]	0.21270575969226313	1.323617201350429	0.21270575969226313	1.323617201350429
U[8]	0.22619319669329593	1.293192757622076	0.22619319669329593	1.293192757622076
U[9]	0.20740850819420917	1.2814003123000264	0.20740850819420917	1.2814003123000264
U[10]	0.2277319107718297	1.359846086730822	0.2277319107718297	1.359846086730822
U[11]	0.2584565865905512	1.4979392387640458	0.2584565865905512	1.4979392387640458
U[12]	0.22318143283866365	1.2952384162461237	0.22318143283866365	1.2952384162461237
U[13]	0.22880982930627483	1.348267000112789	0.22880982930627483	1.348267000112789
U[14]	0.25870667652671725	1.4995675707046277	0.25870667652671725	1.4995675707046277
U[15]	0.2262082191297934	1.3144552308885749	0.2262082191297934	1.3144552308885749
U[16]	0.24145157223534178	1.3890963500060938	0.24145157223534178	1.3890963500060938
U[17]	0.2369173933296299	1.4063083602921689	0.2369173933296299	1.4063083602921689
U[18]	0.24208844205604027	1.4177008830532933	0.24208844205604027	1.4177008830532933
U[19]	0.22960534119620724	1.3257256412892464	0.22960534119620724	1.3257256412892464
U[20]	0.24834763783288577	1.4564113127852618	0.24834763783288577	1.4564113127852618
U[21]	0.22069753301441422	1.1731836699618834	0.22069753301441422	1.1731836699618834
U[22]	0.24115282936172464	1.3629925375753789	0.24115282936172464	1.3629925375753789
U[23]	0.23557171335840774	1.3074556579153316	0.23557171335840774	1.3074556579153316
U[24]	0.2342190900142839	1.3577494995554773	0.2342190900142839	1.3577494995554773
U[25]	0.23256729653846717	1.367529755536397	0.23256729653846717	1.367529755536397
U[26]	0.2496484953626519	1.4429968090354108	0.2496484953626519	1.4429968090354108
U[27]	0.233926934737558	1.333466405837941	0.233926934737558	1.333466405837941
U[28]	0.28370760323928895	1.6678962855867132	0.28370760323928895	1.6678962855867132
U[29]	0.2297775730454054	1.331576911480306	0.2297775730454054	1.331576911480306
U[30]	0.22614266253671994	1.248605496982074	0.22614266253671994	1.248605496982074
U[31]	0.23508040673061487	1.3217426885103063	0.23508040673061487	1.3217426885103063
U[32]	0.23271248518296442	1.376079899571623	0.23271248518296442	1.376079899571623
U[33]	0.22848045884285237	1.2840913053400271	0.22848045884285237	1.2840913053400271
U[34]	0.23603967697382416	1.325724572177531	0.23603967697382416	1.325724572177531
U[35]	0.24723351422002415	1.3919243368946335	0.24723351422002415	1.3919243368946335
U[36]	0.25354812128661486	1.519401238122968	0.25354812128661486	1.519401238122968
U[37]	0.22544635287861337	1.2685251903554107	0.22544635287861337	1.2685251903554107
U[38]	0.23822322276308489	1.340612506906194	0.23822322276308489	1.340612506906194
U[39]	0.24483044954943786	1.3782866578382467	0.24483044954943786	1.3782866578382467
U[40]	0.23244756844547007	1.2807134922104748	0.23244756844547007	1.2807134922104748
U[41]	0.2148935599465437	1.2430266126891907	0.2148935599465437	1.2430266126891907
U[42]	0.2308185788889693	1.3736167158275792	0.2308185788889693	1.3736167158275792
U[43]	0.2405529323048512	1.3938525835757782	0.2405529323048512	1.3938525835757782
U[44]	0.2336082858865609	1.376074503938775	0.2336082858865609	1.376074503938775
U[45]	0.2496822903562266	1.3861402062146921	0.2496822903562266	1.3861402062146921
U[46]	0.23203355637682951	1.278219768421419	0.23203355637682951	1.278219768421419
U[47]	0.23848191868570817	1.4021783792590572	0.23848191868570817	1.4021783792590572
U[48]	0.22437442205556077	1.2269127480372288	0.22437442205556077	1.2269127480372288
U[49]	0.22361595371859277	1.1957087279555527	0.22361595371859277	1.1957087279555527
U[50]	0.23561016059349169	1.3383911720579755	0.23561016059349169	1.3383911720579755
U[51]	0.22304595453751544	1.2817085979912097	0.22304595453751544	1.2817085979912097
U[52]	0.22517964418549674	1.2791539523271167	0.22517964418549674	1.2791539523271167
U[53]	0.2245729699754015	1.3129706275535786	0.2245729699754015	1.3129706275535786
U[54]	0.23439745610583043	1.3301652124139043	0.23439745610583043	1.3301652124139043
U[55]	0.2298277542976608	1.2744220902399475	0.2298277542976608	1.2744220902399475
U[56]	0.2124328074546497	1.231287412930975	0.2124328074546497	1.231287412930975
