origin-version	0	0	3	16	26	0	0	3	16	26
thing-my	0	12	8	6	35	0	12	8	6	36
shot-with	0	1	0	7	24	0	1	0	7	24
go-NUM	3	4	5	26	48	3	4	5	26	48
button-be	5	0	12	21	42	5	0	14	21	43
review-talk	0	1	2	5	25	0	1	2	5	25
warehous-deal	23	4	3	9	53	30	6	3	11	57
with-soni	9	0	3	3	13	9	0	5	3	13
and-lose	9	0	3	3	13	10	0	3	3	13
my-kitchen	0	3	1	10	35	0	3	1	10	35
rent-a	0	7	1	9	16	0	12	1	9	17
to-prop	2	13	7	15	40	2	13	7	15	40
do-email	6	1	21	28	72	6	1	21	28	73
chicago	0	1	1	4	21	0	1	1	4	21
has-pretti	4	8	1	16	29	4	8	1	16	29
tin	0	1	2	4	23	0	1	2	4	26
class-at	0	9	5	4	19	0	9	5	4	19
recognit-softwar	1	2	0	14	20	1	2	0	14	20
price-when	2	2	3	17	26	2	2	3	17	26
well-round	0	0	2	8	28	0	0	2	8	28
the-compon	6	5	2	7	15	6	5	2	7	15
friend-on	1	0	1	17	30	1	0	1	17	31
one-question	6	3	3	4	11	6	3	3	4	11
issu-or	15	10	17	20	64	15	11	17	20	65
hand-write	1	3	18	13	53	2	7	20	15	62
samsung-tablet	47	51	35	108	313	50	64	40	117	338
is-requir	11	4	15	28	62	11	4	20	28	64
after-year	5	1	0	20	33	5	1	0	20	33
meet-the	12	13	23	25	82	12	13	23	25	83
are-concern	3	4	1	15	52	3	4	1	15	55
the-generic	2	2	2	12	16	2	2	2	12	16
the-naysay	0	0	0	11	26	0	0	0	11	26
more-mobil	0	0	0	11	26	0	0	0	11	26
with-spen	0	0	0	11	26	0	0	0	15	26
that-read	4	5	6	18	32	4	6	6	21	33
expens-as	0	7	1	11	19	0	7	1	11	19
had-ipad	2	0	1	17	41	2	0	1	17	41
minor-problem	2	1	4	19	54	2	1	4	19	54
ampl	0	9	17	19	76	0	9	17	25	76
simultan	6	10	24	45	119	6	10	35	47	136
read-where	4	0	9	2	15	4	0	9	2	15
cpu-and	3	12	20	17	85	3	17	21	17	105
speed-differ	0	0	0	13	21	0	0	0	13	21
the-waterproof	0	0	0	13	21	0	0	0	15	22
featur-with	1	6	7	28	73	1	6	7	28	77
hurri	5	12	7	24	52	5	12	7	24	52
an-invalu	0	0	0	6	20	0	0	0	6	20
wonder-addit	0	0	0	6	20	0	0	0	6	20
geat	0	0	0	6	20	0	0	0	6	20
realli-chang	0	0	0	6	20	0	0	0	6	20
over-kindl	0	0	0	6	20	0	0	0	6	20
littl-tweak	0	0	0	6	20	0	0	0	6	20
excel-support	0	0	0	6	20	0	0	0	6	20
well-satisfi	0	0	0	6	20	0	0	0	6	20
downton-abbey	0	0	0	6	20	0	0	0	6	20
m-read	12	4	11	49	120	13	4	11	49	129
headphon-are	4	6	11	10	29	4	6	11	10	29
without-special	0	0	6	19	47	0	0	6	19	49
just-upgrad	5	4	0	14	53	5	4	0	14	53
film-on	4	0	1	11	14	4	0	1	11	15
is-pack	1	4	1	1	21	1	4	1	1	21
type-quick	1	0	7	9	15	1	0	7	9	15
to-grab	2	2	10	19	67	2	2	10	19	67
googl-account	47	22	12	73	192	59	22	14	77	220
fli-and	0	2	8	14	25	0	2	8	14	25
over-half	11	5	3	6	22	11	5	3	6	22
save-NUM	1	0	3	3	23	1	0	3	3	23
bath	1	0	3	3	23	1	0	3	3	23
devic-function	0	1	4	11	15	0	1	4	11	15
adept	2	2	5	17	27	2	2	5	17	27
the-supplier	12	3	7	0	31	12	3	7	0	31
account-was	6	6	9	6	24	6	6	9	6	24
but-return	1	6	6	22	41	1	6	6	22	41
all-data	9	9	1	3	23	11	9	1	3	23
tri-connect	2	2	0	10	12	2	2	0	14	12
frank-i	7	1	8	10	22	7	1	8	10	22
realli-thin	0	0	0	13	26	0	0	0	13	31
the-great	56	30	44	118	415	57	32	45	118	420
free-or	7	7	20	33	121	7	7	20	38	125
proprietari-port	0	0	5	10	14	0	0	5	13	14
an-earlier	1	0	12	25	59	1	0	12	25	59
applic-in	10	8	9	16	40	10	8	9	16	40
pink-and	6	0	6	6	44	6	0	6	6	44
sinc-NUM	21	17	5	20	116	21	18	5	20	119
profici	0	5	3	13	47	0	5	3	13	48
fall-asleep	5	1	4	14	56	5	1	4	15	56
air-would	0	0	8	1	17	0	0	8	1	17
dell-xps	0	0	1	15	26	0	0	1	17	33
her-iphon	1	9	0	14	27	1	9	0	14	27
was-play	22	12	8	19	64	22	12	8	19	70
our-purchas	2	8	2	14	56	2	8	2	14	60
grow-and	0	0	0	8	23	0	0	0	8	23
quiet-time	0	0	0	8	23	0	0	0	8	33
notif-bar	6	1	3	6	11	6	2	3	10	13
speed-internet	7	3	2	7	14	7	3	2	7	14
amp	0	7	13	20	74	0	7	15	31	89
to-song	0	1	0	11	14	0	1	0	11	14
app-had	2	1	8	8	16	2	1	8	8	16
a-bargain	17	10	10	46	99	18	11	11	52	104
of-bang	0	1	6	8	37	0	1	6	8	40
a-mysteri	4	5	2	5	11	4	5	2	5	11
area-with	2	1	9	10	20	2	1	9	10	20
wall-garden	2	9	8	4	24	2	13	8	5	42
product-work	33	11	30	43	134	35	11	31	43	137
includ-amazon	9	1	4	6	16	9	1	4	6	16
flow	3	3	12	33	85	3	3	12	35	85
for-art	0	2	3	2	22	0	2	3	2	24
fluid-and	0	3	4	18	30	0	3	4	18	31
notic-some	4	3	7	24	43	4	3	7	24	44
is-bare	15	11	11	23	60	15	12	11	23	60
regret-purchas	12	0	0	5	37	12	0	0	5	37
a-dozen	26	11	16	23	82	27	11	16	23	83
antiglar	2	8	10	23	83	2	8	10	24	96
sport	16	9	15	48	160	16	9	15	53	169
final-made	4	4	12	2	27	4	4	12	2	27
profession-and	12	3	5	26	49	12	3	5	26	51
android-interfac	4	4	6	25	45	4	4	7	25	47
ipad-too	1	0	0	14	32	1	0	0	14	32
limit-your	0	3	1	2	20	0	3	1	2	20
multipurpos-tablet	0	0	4	3	22	0	0	4	3	24
tailor-to	0	0	4	3	22	0	0	4	3	22
bought-kindl	0	3	6	2	27	0	3	6	2	27
check-on	19	13	13	29	77	19	13	13	29	81
keeper	5	2	16	31	97	5	2	16	32	99
the-cpu	22	8	19	38	95	26	9	24	41	110
feel-i	33	17	16	41	119	33	17	16	42	119
a-gray	2	7	6	3	16	2	7	6	3	16
purchas-content	3	6	7	8	20	3	7	7	10	20
the-bill	13	6	23	54	160	13	6	23	55	164
no-experi	6	1	6	13	60	6	1	6	14	60
onlin-servic	1	5	7	5	15	1	5	7	6	15
NUM-acer	8	3	4	1	14	8	3	4	1	14
reason-not	3	3	2	16	24	3	3	2	16	24
to-town	0	5	0	2	20	0	5	0	2	20
are-tech	0	1	7	8	14	0	1	7	8	14
suppos-it	5	9	2	10	23	5	9	2	10	23
dvd-player	6	3	5	20	34	6	3	6	21	44
ratio-is	4	2	5	8	47	4	2	5	8	61
drain-to	1	3	6	5	11	1	3	8	6	11
next-big	0	6	0	7	32	0	6	0	7	32
home-video	2	0	4	14	20	3	0	4	17	37
case-has	0	1	1	10	31	0	1	1	10	32
weight-it	0	1	0	9	27	0	1	0	9	27
the-slate	6	4	6	22	39	6	4	48	43	68
real-quick	8	0	5	10	19	8	0	5	10	19
prime-user	0	0	7	2	22	0	0	7	2	22
a-handl	0	0	7	2	22	0	0	9	2	22
grammar	5	6	5	1	15	5	6	5	1	15
and-inexpens	0	0	10	22	48	0	0	10	22	49
